Darija_Arabe,Arabizi,Arabe_Standard,Anglais
لون,loun,لون,color
لون,lawn,لون,color
حمر,7mr,أحمر,red
حمر,7mar,أحمر,red
حمر,hmar,أحمر,red
خضر,khdr,أخضر,green
خضر,5dr,أخضر,green
خضر,khdar,أخضر,green
خضر,5dar,أخضر,green
زرق,zr9,أزرق,blue
زرق,zra9,أزرق,blue
زرق,zre9,أزرق,blue
بيض,byed,أبيض,white
بيض,byad,أبيض,white
كحل,k7al,أسود,black
كحل,k7l,أسود,black
كحل,khal,أسود,black
ليموني,limouni,برتقالي,orange
ڨري,gri,رمادي,grey
قهوي,9hwi,بني,brown
قهوي,9ahwi,بني,brown
بنّي,bonni,بني,brown
فانيدي,fanidi,وردي,pink
وردي,wardi,وردي,pink
وردي,werdi,وردي,pink
بنفسجي,banafsaji,بنفسجي,purple
قوقي,9ou9i,بنفسجي,purple
خوخي,khoukhi,بنفسجي,purple
صفر,Sfr,أصفر,yellow
صفر,Sfar,أصفر,yellow
مارو,maro,بني,brown
بيج,bij,بيج,beige
بيج,beige,بيج,beige
دهبي,d8bi,ذهبي,gold
دهبي,Dahbi,ذهبي,gold
دهبي,da8bi,ذهبي,gold
خزّي,khzzi,أخضر عسكري,army green
خزّي,khezzi,أخضر عسكري,army green
خزّي,khazzi,أخضر عسكري,army green
مغلوق,mghlou9,داكن,dark
مغلوق,maghlou9,داكن,dark
مغلوق,maghlouq,داكن,dark
فاتح,fate7,فاتح,light
فاتح,fat7,فاتح,light
عجري,3ajri,فيروزي,turquoise
زلامي,zalami,لون السلمون,salmon
فخري,fekhri,فخري,pride
طايا,taya,لون الشاي,tea-colored
بوصفي,bousfi,أرجواني فاتح,lilac
زويدي,zwaydi,زيتوني,olive
زيتوني,zitouni,زيتوني,olive green
صفصاري,safsari,صفصاري,saffron yellow
خبز,khobz,خبز,bread-colored
برداوي,bardawi,جليدي,icy
لون,lawn,لون,color
خضر,5dr,أخضر,green
زرق,zraq,أزرق,blue
بيج,bij,بيج,beige
ذهبي,dhahbi,ذهبي,gold
فضي,fdi,فضي,silver
أسود,aswed,أسود,black
بنفسجي فاتح,bnsfi fath,بنفسجي فاتح,light purple
برتقالي,bortoqali,برتقالي,orange
أخضر فاتح,khdr fatha,أخضر فاتح,light green
أزرق داكن,azraq daken,أزرق داكن,navy blue
كريم,krim,كريم,cream
